1,2,3-三甲苯	偏三甲苯；1,2,3-三甲苯 
海綿組織	海綿組織
自發突變	自發突變
孢子囊	孢子囊
孢子	孢子
孢子葉	孢子葉
孢子體	孢子體
春材	春材；早材
鱗片狀	鱗片狀
穩定性	穩定性
穩定天擇	穩定天擇
載物臺測微計	載物台測微計
雄蕊	雄蕊
靜水	靜水
鐙骨	镫骨
金黃葡萄球菌	金黃葡萄球菌
澱粉	澱粉
起始密碼子	起始密碼子
平衡石	平衡石；耳石 {人體}
硬脂酸	硬脂酸
中柱	中柱
莖	莖
幹細胞	幹細胞
狹鹽性	狹鹽性
狹溫性	狹溫性
胸骨	胸骨
類固醇	類固醇
黏端	黏性末端
柱頭	柱頭
托葉	托葉
氣孔	氣孔
胃　	胃　
氣室	氣室；氣孔窩
石細胞	石細胞
終止密碼子	終止密碼子
貯積病	貯積病
貯藏根	貯藏根
層	層
基底層	基底層
角質層	角質層
顆粒層	顆粒層
有棘層	有棘層
鏈球菌	鏈球菌
肺炎鏈球菌 	肺炎鏈球菌 
鏈黴素	鏈黴素
壓力激素	應激激素
伸張反射	牽張反射
橫紋肌	橫紋肌
斷裂生殖 	節片生殖
毬果	球果
中風	中風
基質	基質
疊層石	叠層石；叠層岩
結構基因 	結構基因 
結構蛋白質	結構蛋白質
花柱	花柱
口針	口針
近頂端分生組織	近頂端分生組織
蜘蛛膜下腔	蜘蛛膜下腔
亞綱	亞綱
繼代培養	繼代培養
木栓質	木栓質
舌下腺	舌下腺
頜下腺	颌下腺
頜下腺	颌下腺
黏膜下層	黏膜下層
亞門	亞門
副衛細胞	副衛細胞
取代	取代
受質	受質
受質層次磷酸化	受質層次磷酸化
次係統	次係統
次單元	亞基
次單元疫苗	亞單位疫苗
演替	演替；消長
蔗糖酶	蔗糖酶
蔗糖	蔗糖
糖匯集部	糖彙集部
糖供給部	糖供給部
硫循環	硫循環
硫細菌	硫細菌
夏材	夏材；晚材
陽生植物	陽生植物
超綱 {分類}	超綱 {分類}
上大靜脈 	上大靜脈 
上清液	上清液
支持細胞	支持細胞
支持組織	支持組織
存活曲線	存活曲線
適者生存	適者生存
存活曲線	存活曲線
懸韌帶	懸韌帶
縫合線	縫合線
汗腺	汗腺
共生生物	共生生物
共生	共生
共生	共生
交感神經鏈	交感神經鏈
交感神經節	交感神經節
交感神經	交感神經
同域種化	同域物種形成
恥骨聯合	恥骨聯合
共質體運輸	共質體運輸
共祖徵	共祖征
同向運輸	同向運輸
共衍徵	共衍征
突觸	突觸
聯會	聯會
突觸間隙	突觸間隙
突觸間隙	突觸間隙
突觸終端	突觸終端；突觸末梢
突觸囊泡	突觸囊泡
症	症
同義碼	同義碼；同物異名
黑長尾雉	黑長尾雉；帝雉
係統分類學	係統分類學
體循環	體循環
全身性紅斑狼瘡	全身性紅斑狼瘡
收縮壓	收縮壓
T 細胞	T 細胞
T 淋巴球	T 淋巴球
軸根	直根
軸根係	直根係
標的細胞	靶細胞
眼鏡猴	眼鏡猴
味蕾	味蕾
味孔	味孔
趨性	趨性
類紫杉醇	類紫杉醇
紫杉醇	紫杉醇
分類學	分類學
戴-薩克斯病	戴-薩克斯病
覆膜	覆膜
端粒酶	端粒酶
端粒	端粒
末期 {細胞週期}	末期 {細胞周期}
溫帶落葉林	溫帶落葉林
溫帶草原	溫帶草原
溫和型病毒	溫和型病毒
模版	模版
模版股	模板鏈
顳葉	颞葉
肌腱	肌腱
卷鬚	卷須
終止密碼子	終止密碼子
終止子	終止子
萜烯類	萜烯類
三級消費者	三級消費者
三級結構 {蛋白質}	三級結構 {蛋白質}
試交 	測交
睪丸	睪丸
睪固酮	睪固酮
破傷風桿菌	破傷風杆菌
四環黴素　	四環素
四分體	四分體
四倍體	四倍體
四足動物	四足動物
視丘	丘腦
地中海型貧血	地中海型貧血
葉狀體	葉狀體
10％定律	10％定律；十分之一定律
天擇說	自然選擇學說
用進廢退說	用進廢退說
逆溫現象	逆溫現象
硫胺素 	硫胺素 
觸發運動	觸發運動
向觸性	向觸性
口渴中樞	口渴中樞
肋骨架	胸廓
胸管	胸導管
受脅種	受脅種
蘇胺酸	蘇氨酸
閾值	阈值；低限
血栓	血栓
類囊體	類囊體
類囊體膜	類囊體膜
胸腺嘧啶	胸腺嘧啶
胸腺嘧啶二聚物	胸腺嘧啶二聚物
胸腺生成素	胸腺生成素
胸腺素	胸腺素
胸腺	胸腺
甲狀腺球蛋白  	甲狀腺球蛋白  
甲狀腺刺激素	促甲狀腺激素
甲狀腺	甲狀腺
甲狀腺素	甲狀腺素
潮氣容積 {生理}	潮氣量
潮間帶	潮間帶
緊密型連結	緊密型連結
林線	林線；森林線
組織培養	組織培養
菸草鑲嵌病毒	煙草鑲嵌病毒
扁桃腺	扁桃腺
全潛能性	全能性
毒素	毒素
痕跡化石	遺迹化石
氣管	氣管
氣管係	氣管係
管胞	管胞；假導管
微氣管	微氣管
維管植物門	維管植物門
表徵	性狀
轉乙醯酶	轉乙醯酶
跨細胞運輸	跨細胞運輸
轉錄本	轉錄物
轉錄本加工	轉錄物處理
轉錄	轉錄
轉錄單位	轉錄單位
轉導	轉導
轉送 RNA	轉移RNA
轉形	轉化
轉形物質	轉化物
基因轉殖	轉基因的
轉譯	轉譯
易位 {遺傳}	易位 {遺傳}；轉位 {分生}；輸導作用 {植物}
傳遞 {神經}	傳導
穿透式電子顯微鏡	穿透式電子顯微鏡
蒸散作用	蒸騰
蒸散拉力	蒸騰拉力
蒸散流	蒸騰流
移植	移植
運輸蛋白	運輸蛋白
運輸囊泡	運輸囊泡
林線	林線；森林線
喬木層	喬木層
梅毒螺旋體	梅毒螺旋體
三酸甘油酯	三酸甘油酯；三醯甘油
試誤行為	試誤行爲
檸檬酸循環	檸檬酸循環；克氏循環；三羧酸循環
三頭肌 	三頭肌 
三尖瓣	三尖瓣
三叉神經	三叉神經
三酸甘油酯	三酸甘油酯；三醯甘油
三碘甲狀腺素	三碘甲狀腺素
三碘甲狀腺素	三碘甲狀腺素
三葉蟲	三葉蟲
三碳醣	丙糖
三肽	三肽
三聯密碼	三聯密碼
三倍體	三倍體
三染色體	三體的
三染色體	三染色體
滑車神經	滑車神經
珠光裳鳳蝶	珠光裳鳳蝶
營養階層	營養級
滋胚層 	滋養層
營養葉	營養葉
向性反應	向性反應
熱帶季風林	熱帶季風林
熱帶雨林	熱帶雨林
向性	向性
肌旋蛋白	原肌球蛋白
肌鈣蛋白	肌鈣蛋白
胰蛋白酶	胰蛋白酶
色胺酸	色氨酸
色胺酸操縱組	色胺酸操縱組
TSH 釋素	TSH 釋素
台灣鐵杉	台灣鐵杉
輸卵管結紮	輸卵管結紮
塊莖	塊莖
微管蛋白	微管蛋白
抑瘤基因	抑癌基因
腫瘤誘生質體	致瘤質粒
凍原	凍原；苔原
外膜	外膜
膨壓	膨壓
透納症	透納症
鼓室道	鼓室小管
鼓膜	鼓膜
中耳炎	中耳炎
酪胺酸酶	酪氨酸酶
酪胺酸	酪氨酸酶
泛蛋白	泛素
超音波	超聲
臍動脈 	臍動脈 
臍帶 	臍帶 
臍靜脈 	臍靜脈 
營養不足	營養不足
均勻分布	均勻分布
單潛能幹細胞	單潛能幹細胞
單性	單性
湧昇流	上升流
尿嘧啶	尿嘧啶
鈾鉛法	鈾鉛法
尿素　	尿素　
尿素酶	尿素酶
輸尿管	輸尿管
尿道	尿道
尿酸	尿酸
膀胱	膀胱
臺灣黑熊	台灣黑熊
蕁麻疹	荨麻疹
子宮頸	子宮頸
子宮	子宮
橢圓囊 {動物}	橢圓囊 {動物}；胞果 {植物}
疫苗接種	疫苗接種
疫苗	疫苗
液泡	液泡
陰道	陰道
迷走神經	迷走神經
纈胺酸	缬氨酸
瓣膜	瓣膜
變異區	可變區
變異	變異
輸精管	輸精管
直血管	直血管
維管束	維管束
維管形成層	維管形成層
維管柱	維管柱
血管係 {動物}	血管係 {動物}；維管係 {植物}
維管組織	維管組織
血管舒縮中樞	血管舒縮中樞；血管運動中樞
抗利尿素	抗利尿素；血管加壓素
載體 {分生}	載體 {分生}；傳播媒介 {昆蟲學}
營養繁殖	營養繁殖
葉脈 {植物}	葉脈 {植物}；靜脈 {動物}
軟顎	罩膜
通氣	通氣
腹角	腹角
腹根	腹根
心室	心室；腦室
小靜脈 	小靜脈 
闌尾　	闌尾　
春化素	春化素
春化作用	春化作用
脊椎骨	脊椎骨
脊椎動物	脊椎動物
囊泡	囊泡
泡狀-樹狀菌根	泡狀-樹狀菌根
導管	導管
導管細胞	導管分子
前庭道	前庭管
前庭	前庭
痕跡器官	痕迹器官
痕跡構造	痕迹構造
弧菌	弧菌
霍亂弧菌	霍亂弧菌
絨毛	絨毛
類病毒	類病毒
致病力	致病力；毒力
病毒	病毒
內臟肌	內髒肌
可見光	可見光
生機論	生機論
維生素	維生素
玻璃樣液	玻璃體液
胎生　	胎生　
聲帶	聲帶
電位閘控離子通道	電位閘控離子通道
電位敏感離子通道	電位敏感離子通道
隨意肌	隨意肌
團藻	團藻
遊走巨噬細胞	遊走巨噬細胞
水黴菌	水黴菌
蠟	蠟
風化作用	風化作用
溼地	濕地
白血球　	白血球　
白質	白質
白髓	白髓
野生型	野生型
風媒花	風媒花
縮回反射	縮回反射
木本	木本
木質藤本	木質藤本
喬木	喬木
葉黃素	葉黃素
異種移植	異種移植
X 性聯疾病	X 性聯疾病
X 光結晶學	x射線晶體學
木質部	木質部
木糖	木糖
酵母	酵母；釀母
黃熱病	黃熱病
卵黃	卵黃
卵黃囊 	卵黃囊 
Z 線	Z 線
玉米	玉米；玉蜀黍
玉米黃素	玉米黃素
延長區	伸長區
成熟區	成熟區
動物性浮遊生物	動物性浮遊生物
接合菌綱	接合菌綱
接合孢子	接合孢子
合子	合子
阿法螺旋 	阿法螺旋 ；α螺旋
β-胡蘿蔔素	β-胡蘿蔔素
β-半乳糖苷酶	β-半乳糖苷酶
貝他褶板	β折疊
伽馬射線	伽馬射線
絕對星等	絕對星等
吸收	吸收;吸收;吸收
吸收線	吸收線
吸收譜	吸收譜 
深海平原	深海平原 
加速計	加速度計 
酸雨	酸雨 
活動斷層	活動斷層
氣膠	氣溶膠
氣膠粒子	氣溶膠粒子；氣膠粒子
氣界	大氣圈，大氣層
氣團	氣團
空氣汙染	空氣汙染 
氣壓	氣壓
機載光達	空載光達
氣流	氣流
海氣交互作用	海氣相互作用 
反照率	反照率
藻華	藻花，藻華
經緯儀	經緯儀
胺基酸	氨基酸
菊石	菊石
安山岩	安山岩 
仙女座星係	仙女座星係；仙女座星雲
角解析度	角分辨率 
異常	異常，不規則
南極板塊	南極洲板塊 
背斜	背斜
反氣旋	反氣旋 
遠日點	遠日點
視亮度	視亮度
視星等	視星等
水氣	水蒸汽，水汽
阿拉伯板塊	阿拉伯板塊
太古元	太古宙
人造雨	人工降雨
小行星	小行星 
小行星帶	小行星帶
軟流圈	軟流層，軟流圈 
天文學	天文學
大氣	大氣圈；大氣 
大氣環流	大氣環流
氣壓	氣壓
大氣科學	大氣科學
大氣窗	大氣窗口；大氣窗
原子	原子
原子核	原子核
極光	極光
秋分	秋分
方位	方位；方位角 
帶狀鐵礦床	帶狀鐵礦建造
棒狀旋星係	棒旋星係 
玄武岩	玄武岩 
灘	海灘
二進制	二進制
雙目望遠鏡	雙目望遠鏡 
生物圈	生物圈
黑洞	黑洞 
碎波	破碎波
亮度	亮度
核球(星係)	核球（星係）
碳酸鈣	碳酸鈣
形成層	形成層
寒武紀	寒武紀；寒武係
寒武紀大爆發	寒武紀大爆炸
岬	地角，岬角
碳	碳
碳循環	碳循環
除碳過程	除碳過程
石炭紀	石炭紀；石炭係
加勒比板塊	加勒比板塊
卡士格冉望遠鏡	卡塞格林望遠鏡
星表	星表
天球坐標	天球坐標
天球赤道	天赤道
天極	天極 
新生代	新生代；第三紀
1號小行星	谷神星(小行星1號)
地球號{日本鑽井船}	地球號
氟氯碳化物	氯氟碳化物 
環太平洋地震帶	環太平洋地震帶
拱極星	拱極星
氣候	氣候
氣候變遷	氣候變化
順鐘向	順時針方向
雲	雲
雲頂溫度	雲頂溫度
簇	聚類；星團；簇
星係團	星係團
煤	煤
海岸階地	海岸階地
沿岸流	沿岸流
球石藻	球石藻
科克斯板塊	科科斯板塊
冷氣團	冷氣團
冷雲	冷雲
冷流	寒流
冷鋒	冷鋒 
寒潮	寒潮
碰撞	碰撞 
顏色	顔色
彗星	彗星
補償深度	補償深度
凝結	凝結 
凝結核	凝結核
凝結尾	凝結尾
傳導	傳導
礫岩	礫岩
星座	星座
大陸冷高壓	大陸冷高壓
大陸地殼	陸殼
大陸漂移	大陸漂移
大陸邊緣	大陸邊緣 
大陸隆起	大陸隆；陸基
大陸棚	大陸架
大陸斜坡	大陸坡
對流	對流
對流雲	對流雲
輻合	輻合
聚合型板塊邊界	聚斂板塊邊界
冷卻	冷卻
珊瑚	珊瑚 
中心	岩心；地核 ；中心
科氏效應	科裏奧利效應 
科氏力	科裏奧利力 
華	華；日冕
宇宙線	宇宙線
反鐘向	逆時鍾方向；反時針方向
火山口	火山口；隕石坑,撞擊坑
白堊紀	白垩紀；白垩係
地殼	地殼 
隱生元	隱生宙
積雲	積雲
流	流；湧流
藍菌	藍細菌
旋風	氣旋
氣旋式環流	氣旋性環流；氣旋環流
犬頭龍	犬颌獸
子元素	子元素
岩屑流	泥石流
偏角	赤緯；磁偏角 
赤緯軸(望遠鏡)	赤緯軸
深水層	深層
除氣作用	除氣；消毒
度	度
密度	密度
密度流	密度流
堆積	堆積物；礦藏，礦床
澱積	堆積作用；沈積；沈積作用；凝華 
泥盆紀	泥盆紀(或係)
露	露
露點	露點
擴散	擴散;擴散作用
順向坡	傾向坡
距離	距離
周日運動	周日運動 
全日潮	全日潮，全日潮 
輻散	輻散；散度 
張裂型板塊邊界	趨離板塊界線；離散板塊邊界
流域	流域
乾旱	幹旱
乾冰	幹冰
泥土	地球
地球	地球 
地球反照率	地球反照率 
地球磁層	地球磁層 
地球係統	地球係統
地震	地震
震央	震中
震源	震源 
震度	地震烈度
地震規模	震級；地震等級
地球磁層	地球磁層
退潮	落潮
偏心率	偏心率；離心率
黃道	黃道
黃道面	黃道面
聖嬰	埃爾—尼諾海流，“厄爾尼諾”現象
彈性回跳理論 	彈性回跳理論
導電性	導電性；導電率
電磁波	電磁波
電子	電子
電子槍	電子槍 
元素	元素 
標高	高程；拔河；仰角
橢圓銀河係	橢圓星係
發射	排放；發射
發射線	發射譜線
內營力	內營力
能量	能量 
能量效率	能源效率
能源	能源
能量傳送	能量輸送
強化紅外衛星雲圖	強化紅外衛星雲圖
始新世	始新世；始新係
元	宙
世	世；曆元 
赤道	赤道
赤道流	赤道流
赤道東風	赤道東風帶
代	代；紀元
侵蝕	侵蝕；沖刷
侵蝕海岸	侵蝕海岸
歐亞板塊	歐亞板塊 
蒸發	蒸發
演化	進化
外營力	外營力
膨脹	膨脹
膨脹冷卻	膨脹冷卻
外星生命	地外生命
溫帶氣旋	溫帶氣旋
豪雨 	豪雨
眼牆	眼牆
指相化石 ; 示相化石	指相化石
斷層	斷層；故障
焚風	焚風
長石	長石
暴洪	暴發洪水；山洪
洪水	洪水；澇災；漲潮 ；洪澇
洪峰	洪峰
氾濫平原	泛濫平原；變質岩 ；河漫灘；洪泛區
漲潮	漲潮
水流	變形；流動；漲潮，泛濫
河流侵蝕	河流侵蝕
焚風	焚風
霧	霧
褶皺	褶皺
葉理	葉理
有孔蟲	有孔蟲
化石	化石
化石燃料	化石燃料 
斷裂帶	斷裂帶，破裂帶
頻率	頻率
摩擦力	摩擦力 
鋒	鋒；鋒
鋒面	鋒面
霜	霜
藤原效應	藤原效應
望	滿月；望
噴氣孔	噴氣孔
輝長岩	輝長岩 
銀盤	星係盤；銀盤 
銀暈	星係暈 ；銀暈 
銀河係	星係；銀河係
星係團	星係團
伽馬射線	伽馬射線，γ射線
大氣環流	大氣環流
生成區	生成區
大地水準面	地球體；大地水準面
大地水準面起伏	大地水準面波動
地質年代表	地質年表
地質年代表	地質年表
地質學	地質；地質學
地磁反轉	地磁極性倒轉 
地球物理	地球物理學 
地圈	地圈
地球同步衛星	對地靜止衛星；地球同步衛星 
地轉風	地轉風
地熱能	地熱能 
冰期	冰川期，冰河時代
全球變遷	全球變化
全球暖化	全球變暖 
球狀星團	球狀星團 
舌羊齒	舌羊齒
片麻岩	片麻岩
全球定位係統	全球定位係統
花岡岩	花崗岩
重力	重力 
溫室效應	溫室效應
溫室氣體	溫室氣體
突堤效應	突堤效應
地下水	地下水
古氏不連續面	古登堡不連續面；古登堡間斷面
海桌山	平頂海山 
雹	雹
半衰期	半衰期 
熱能	熱能
熱島效應	熱島效應
重元素	重元素
氦	氦
不勻層	非均勻層；非均質層  
高氣壓 	高氣壓
高氣壓	高氣壓；高壓
滿潮	高潮
高壓中心	高壓中心，反氣旋中心
依巴谷星座	依巴谷環形山 
全新世	全新世；全新世的
均勻層	均質層；均勻層
地平	層位；地平；地平圈
水平運動	水平運動
主體	親礦岩，主岩；寄主
熱點	熱點
溫泉	海底熱泉
哈伯太空望遠鏡	哈勃空間望遠鏡 
溼度	濕度 
颶風	12級風 ；飓風
氫	氫
水界	水圈
冰河期	冰期 
冰芯	冰芯
冰晶	冰晶 
冰原	冰蓋；冰原
冰室氣候	冰室氣候
火成岩	火成岩
標準化石	標志化石
印澳板塊	印澳板塊
紅外線	紅外線
紅外雲圖	紅外雲圖
紅外輻射	紅外輻射
內核	內核
幹涉儀	幹涉儀 
間冰期的	間冰期；間冰期的
國際天文學協會	國際天文學聯合會
星際塵埃	宇宙塵；星際塵埃
星際氣體	星際氣體
星際物質	星際介質
潮間帶	潮間帶
間熱帶輻合帶	熱帶輻合帶
電離	電離
電離層	電離層 
不規則星係	不規則星係 
島弧	島弧
等壓線	等壓線 
等壓面	等壓面
地殼均衡	地殼均衡；地殼均衡  
突堤效應	突堤效應
節理	節理
木星星群	類木行星 
儒略歷	儒略曆
木星	木星
侏羅紀	侏羅紀，侏羅係
黑潮	黑潮，日本海流 
京都議定書 	京都議定書 
反聖嬰	拉尼娜
落後時間	滯後時間
山崩	滑坡 
坍崩	滑坡
末次冰盛期 	末次冰盛期
潛熱	潛熱
緯度	緯度
疊積定律  ; 疊置定律	疊加定律
閏月	閏月
閏年	閏年 
背風面	背風面
左移斷層	左側斷層
水準測量	水準測量
擧升	上升
光害	光汙染 
光年	光年
閃電	閃電 
石灰岩	石灰岩
液化	液化
液態水	液態水
岩石圈	岩石圈，岩石層 
小冰期	小冰期
本星係群	近鄰星係群;本星係群
本星群	本星群
本超星係團	本超星係團 
沿岸流	沿岸流，順岸流 
低氣壓 	低氣壓
低氣壓	低氣壓；低壓
低壓中心	低壓中心
低潮	低潮
下部地函	下地幔
低速帶	低速帶
天琴座	天琴座
水龍	水龍獸
岩漿活動	岩漿活動
磁暴	磁暴
磁層	磁層
放大	放大 
量數值	星等；震級 
主序星	主序星 
大潮	大潮
紅樹林	紅樹林
地函	地幔 
海階	海岸階地 
火星	火星
質量	質量
大滅絕	集群滅絕
塊體崩壞	物質坡移 
物質	物質 
中世紀氣候適宜期	中世紀氣候適宜期
梅雨	梅雨
梅雨鋒	梅雨鋒
水星	水星
中氣層頂	中間層頂 
中龍	中龍
中氣層	中間層
中生代	中生代；中生代的
金屬礦產	金屬礦物
變質岩	變質岩
流星	流星，大氣現象 
流星雨	流星雨
隕石	隕石；隕星
氣象衛星	氣象衛星 
雲母	雲母
